2014-11-27 15:19:18 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:19:18---------
2014-11-27 15:19:23 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:19:23 execute_v2 INFO:	db dump res:99
2014-11-27 15:19:26 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:19:26---------
2014-11-27 15:19:31 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:19:31 execute_v2 INFO:	db dump res:99
2014-11-27 15:19:34 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:19:34---------
2014-11-27 15:19:39 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:19:39 execute_v2 INFO:	db dump res:99
2014-11-27 15:19:42 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:19:42---------
2014-11-27 15:19:47 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:19:47 execute_v2 INFO:	db dump res:99
2014-11-27 15:19:50 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:19:50---------
2014-11-27 15:19:56 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:19:56 execute_v2 INFO:	db dump res:99
2014-11-27 15:19:59 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:19:59---------
2014-11-27 15:20:04 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:20:04 execute_v2 INFO:	db dump res:99
2014-11-27 15:20:07 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:20:07---------
2014-11-27 15:20:12 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:20:12 execute_v2 INFO:	db dump res:99
2014-11-27 15:20:15 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:20:15---------
2014-11-27 15:20:20 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:20:20 execute_v2 INFO:	db dump res:99
2014-11-27 15:20:23 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:20:23---------
2014-11-27 15:20:31 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:20:31 execute_v2 INFO:	db dump res:99
2014-11-27 15:20:34 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:20:34---------
2014-11-27 15:20:41 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:20:41 execute_v2 INFO:	db dump res:99
2014-11-27 15:20:44 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:20:44---------
2014-11-27 15:20:53 execute_v2 INFO:	start_v2 ret=99
2014-11-27 15:20:53 execute_v2 INFO:	db dump res:99
2014-11-27 15:20:56 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:20:56---------
2014-11-27 15:20:57 execute_v2 INFO:	start_v2 ret=0
2014-11-27 15:20:57 execute_v2 INFO:	db dump res:0
2014-11-27 15:20:58 execute_v2 INFO:	to_remove:
2014-11-27 15:20:58 execute_v2 INFO:	zip files res:0
2014-11-27 15:20:59 execute_v2 INFO:	enc files res:0
2014-11-27 15:21:54 execute_v2 INFO:	to reset env, succ.
2014-11-28 00:54:01 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:54:01---------
2014-11-28 00:54:06 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:54:06 execute_v2 INFO:	db dump res:99
2014-11-28 00:54:10 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:54:10---------
2014-11-28 00:54:17 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:54:17 execute_v2 INFO:	db dump res:99
2014-11-28 00:54:20 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:54:20---------
2014-11-28 00:54:25 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:54:25 execute_v2 INFO:	db dump res:99
2014-11-28 00:54:28 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:54:28---------
2014-11-28 00:54:33 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:54:33 execute_v2 INFO:	db dump res:99
2014-11-28 00:54:37 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:54:37---------
2014-11-28 00:54:42 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:54:42 execute_v2 INFO:	db dump res:99
2014-11-28 00:54:45 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:54:45---------
2014-11-28 00:54:50 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:54:50 execute_v2 INFO:	db dump res:99
2014-11-28 00:54:53 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:54:53---------
2014-11-28 00:54:59 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:54:59 execute_v2 INFO:	db dump res:99
2014-11-28 00:55:02 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:55:02---------
2014-11-28 00:55:07 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:55:07 execute_v2 INFO:	db dump res:99
2014-11-28 00:55:10 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:55:10---------
2014-11-28 00:55:15 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:55:15 execute_v2 INFO:	db dump res:99
2014-11-28 00:55:19 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:55:19---------
2014-11-28 00:55:25 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:55:25 execute_v2 INFO:	db dump res:99
